"","user_id","created_at","screen_name","text","retweet_count"
"44","1007930798287171584",2019-08-21 09:13:48,"PANCHIT35526352","#SaveSpiderMan <U+0E1B><U+0E39><U+0E40><U+0E19><U+0E37><U+0E49><U+0E2D><U+0E40><U+0E23><U+0E37><U+0E48><U+0E2D><U+0E07><U+0E21><U+0E32><U+0E02><U+0E19><U+0E32><U+0E14><U+0E19><U+0E35><U+0E49><U+0E08><U+0E30><U+0E17><U+0E34><U+0E49><U+0E07><U+0E07><U+0E48><U+0E32><U+0E22><U+0E46><U+0E44><U+0E21><U+0E48><U+0E44><U+0E14><U+0E49><U+0E14><U+0E34><U+0E2A><U+0E19><U+0E35><U+0E22><U+0E4C><U+0E04><U+0E34><U+0E14><U+0E2D><U+0E30><U+0E44><U+0E23><U+0E2D><U+0E22><U+0E39><U+0E48><U+0E40><U+0E19><U+0E35><U+0E48><U+0E22><U+0001F577><U+0001F62D> https://t.co/dcLzzYutxf",15
"45","1007930798287171584",2019-08-21 09:13:53,"PANCHIT35526352","<U+0E27><U+0E31><U+0E19><U+0E19><U+0E35><U+0E49><U+0E41><U+0E2D><U+0E14><U+0E21><U+0E32><U+0E0A><U+0E49><U+0E32><U+0E19><U+0E30> #SaveSpiderMan https://t.co/1M7RT8B2zD",8
"46","1007930798287171584",2019-08-21 09:14:04,"PANCHIT35526352","<U+0E21><U+0E2D><U+0E1A><U+0E43><U+0E2B><U+0E49><U+0E40><U+0E25><U+0E22><U+0E08><U+0E49><U+0E32><U+0E32><U+0E32><U+0E32> <U+0E40><U+0E2D><U+0E32><U+0E1E><U+0E35><U+0E48><U+0E17><U+0E2D><U+0E21><U+0E01><U+0E39><U+0E04><U+0E37><U+0E19><U+0E21><U+0E32>! #SaveSpiderMan https://t.co/7UfSBe7aYl",3
"47","1007930798287171584",2019-08-21 09:13:34,"PANCHIT35526352","<U+0E23><U+0E31><U+0E01><U+0E15><U+0E34><U+0E14><U+0E14><U+0E35><U+0E25> #SaveSpiderMan https://t.co/weTHt3wxXS",55
"48","1007930798287171584",2019-08-21 09:13:50,"PANCHIT35526352","#SaveSpiderMan
<U+0E44><U+0E21><U+0E48><U+0E19><U+0E48><U+0E30><U+0E40><U+0E14><U+0E47><U+0E01><U+0E1B><U+0E4B><U+0E32> https://t.co/93l1pjl63a",20
"49","1007930798287171584",2019-08-21 09:11:54,"PANCHIT35526352","<U+0E41><U+0E01><U+0E01><U+0E01><U+0E01><U+0E01> <U+0E17><U+0E33><U+0E41><U+0E1A><U+0E1A><U+0E19><U+0E35><U+0E49><U+0E44><U+0E21><U+0E48><U+0E44><U+0E14><U+0E49><U+0E19><U+0E30><U+0E40><U+0E27><U+0E49><U+0E22> <U+0E2D><U+0E22><U+0E48><U+0E32><U+0E17><U+0E33><U+0E41><U+0E1A><U+0E1A><U+0E19><U+0E35><U+0E49><U+0E40><U+0E25><U+0E22> <U+0E44><U+0E14><U+0E49><U+0E42><U+0E1B><U+0E23><U+0E14> <U+0E0A><U+0E31><U+0E49><U+0E19><U+0E2D><U+0E49><U+0E2D><U+0E19><U+0E27><U+0E2D><U+0E19><U+0E40><U+0E17><U+0E2D><U+0E2D><U+0E2D><U+0E2D> <U+0E41><U+0E04><U+0E48><U+0E19><U+0E35><U+0E49><U+0E01><U+0E49><U+0E40><U+0E08><U+0E47><U+0E1A><U+0E0A><U+0E49><U+0E33><U+0E21><U+0E32><U+0E01><U+0E1E><U+0E2D><U+0E41><U+0E25><U+0E49><U+0E27><U+0E1B><U+0E49><U+0E30> <U+0E1B><U+0E4B><U+0E32><U+0E42><U+0E17><U+0E19><U+0E35><U+0E48><U+0E01><U+0E47><U+0E44><U+0E1B><U+0E41><U+0E25><U+0E49><U+0E27><U+0001F62D> <U+0E41><U+0E04><U+0E1B><U+0E01><U+0E47><U+0E44><U+0E21><U+0E48><U+0E43><U+0E0A><U+0E48><U+0E04><U+0E23><U+0E34><U+0E2A><U+0E2D><U+0E35><U+0E41><U+0E25><U+0E49><U+0E27> <U+0E22><U+0E34><U+0E48><U+0E07><U+0E41><U+0E19><U+0E17><U+0E19><U+0E30><U+0E41><U+0E21><U+0E48><U+0E21><U+0E21><U+0E21><U+0E21> <U+0E44><U+0E2B><U+0E19><U+0E08><U+0E30><U+0E42><U+0E25><U+0E01><U+0E34><U+0E2D><U+0E35><U+0E01> <U+0E43><U+0E19>MCU<U+0E19><U+0E35><U+0E48><U+0E23><U+0E39><U+0E49><U+0E2A><U+0E36><U+0E01><U+0E2A><U+0E39><U+0E0D><U+0E40><U+0E2A><U+0E35><U+0E22><U+0E44><U+0E1B><U+0E2B><U+0E21><U+0E14><U+0E40><U+0E25><U+0E22><U+0E2D><U+0E48><U+0E30> <U+0E43><U+0E2B><U+0E49><U+0E19><U+0E49><U+0E2D><U+0E07><U+0E17><U+0E2D><U+0E21><U+0E2D><U+0E22><U+0E39><U+0E48><U+0E15><U+0E48><U+0E2D><U+0E40><U+0E16><U+0E2D><U+0E30> <U+0E19><U+0E49><U+0E2D><U+0E07><U+0E04><U+0E27><U+0E23><U+0E2D><U+0E22><U+0E39><U+0E48><U+0E01><U+0E31><U+0E1A>MCU<U+0E08><U+0E23><U+0E34><U+0E07><U+0E46><U+0E2D><U+0E30> <U+0E19><U+0E49><U+0E2D><U+0E07><U+0E2A><U+0E33><U+0E04><U+0E31><U+0E0D><U+0E21><U+0E32><U+0E01><U+0E46><U+0E46><U+0E46><U+0E46> #SaveSpiderMan https://t.co/NohueOhKnM",204
"50","1007930798287171584",2019-08-21 09:14:31,"PANCHIT35526352","Homeless for real
#SaveSpiderMan https://t.co/siIf6nrZVt",811
"51","1007930798287171584",2019-08-21 09:13:40,"PANCHIT35526352","<U+0E1E><U+0E27><U+0E01><U+0E21><U+0E36><U+0E07><U+0E44><U+0E21><U+0E48><U+0E44><U+0E14><U+0E49><U+0E2B><U+0E23><U+0E2D><U+0E01> <U+0E43><U+0E2B><U+0E49><U+0E01><U+0E39><U+0E25><U+0E37><U+0E21><U+0E21><U+0E36><U+0E07><U+0E17><U+0E33><U+0E44><U+0E21><U+0E48><U+0E44><U+0E14><U+0E49>!!! #SaveSpiderMan https://t.co/iLJQggyNVq",61
"52","1007930798287171584",2019-08-21 09:14:07,"PANCHIT35526352","we need him #SaveSpiderMan https://t.co/S1FGB2Ff06",253
"53","1007930798287171584",2019-08-21 09:14:57,"PANCHIT35526352","<U+0E2D><U+0E34><U+0E1E><U+0E39><U+0E25><U+0E1A><U+0E2D><U+0E01><U+0E01><U+0E39><U+0E15><U+0E32><U+0E21><U+0E08><U+0E35><U+0E1A><U+0E19><U+0E49><U+0E2D><U+0E07><U+0E21><U+0E32><U+0E15><U+0E31><U+0E49><U+0E07><U+0E19><U+0E32><U+0E19> <U+0E01><U+0E27><U+0E48><U+0E32><U+0E08><U+0E30><U+0E1C><U+0E48><U+0E32><U+0E19><U+0E14><U+0E48><U+0E32><U+0E19><U+0E41><U+0E21><U+0E48><U+0E42><U+0E17><U+0E19><U+0E35><U+0E48><U+0E21><U+0E32><U+0E44><U+0E14><U+0E49> <U+0E1E><U+0E2D><U+0E01><U+0E39><U+0E44><U+0E14><U+0E49><U+0E21><U+0E32><U+0E2D><U+0E22><U+0E39><U+0E48><U+0E02><U+0E49><U+0E32><U+0E07><U+0E1A><U+0E49><U+0E32><U+0E19> <U+0E2D><U+0E34><U+0E19><U+0E49><U+0E2D><U+0E07><U+0E01><U+0E47><U+0E42><U+0E14><U+0E19><U+0E1E><U+0E32><U+0E01><U+0E25><U+0E31><U+0E1A><U+0E1A><U+0E49><U+0E32><U+0E19><U+0E40><U+0E14><U+0E34><U+0E21> <U+0E40><U+0E23><U+0E37><U+0E2D><U+0E01><U+0E39><U+0E22><U+0E31><U+0E07><U+0E44><U+0E21><U+0E48><U+0E44><U+0E14><U+0E49><U+0E2D><U+0E2D><U+0E01><U+0E17><U+0E30><U+0E40><U+0E25><U+0E01><U+0E47><U+0E42><U+0E14><U+0E19><U+0E22><U+0E34><U+0E07><U+0E14><U+0E31><U+0E1A><U+0E40><U+0E09><U+0E22> #SaveSpiderMan https://t.co/UkWFBdoAgN",44
